n_v2v,Algorithm,PDR,Collision,Throughput,Net_Throughput,Spectral_Eff,Fairness,SINR_dB,Latency_Viol,Reliability,Energy_Eff,LoS_Ratio
20,Random,0.1931,0.2575,0.4506,9.012,0.1126,0.4889,-3.317,0.1545,0.1415,0.3828,0.0569
20,Greedy_CSI,0.4631,0.2473,0.9052,18.104,0.2263,0.7557,0.139,0.1575,0.3385,0.4631,0.0575
20,Round_Robin,0.0925,0.2105,0.3174,6.347,0.0793,0.5789,-5.628,0.164,0.03,0.3085,0.0592
20,MAPPO,0.3692,0.2605,0.7347,14.694,0.1837,0.6807,-1.001,0.1445,0.2715,0.3692,0.0551
20,PGAT,0.3547,0.2467,0.7337,14.673,0.1834,0.6528,-0.872,0.157,0.2715,0.3554,0.0568
40,Random,0.2424,0.2504,0.5246,20.985,0.1312,0.5159,-2.588,0.1418,0.18,0.4829,0.0556
40,Greedy_CSI,0.5329,0.2505,0.974,38.961,0.2435,0.7543,0.534,0.1375,0.425,0.5329,0.0566
40,Round_Robin,0.1493,0.2308,0.4232,16.929,0.1058,0.6426,-4.252,0.166,0.0475,0.4977,0.0567
40,MAPPO,0.4358,0.293,0.7869,31.475,0.1967,0.7286,-0.792,0.148,0.3183,0.4358,0.0568
40,PGAT,0.4672,0.2532,0.8567,34.267,0.2142,0.6842,-0.096,0.1448,0.3813,0.4682,0.0553
60,Random,0.2883,0.2499,0.5892,35.351,0.1473,0.552,-2.036,0.1565,0.2192,0.5692,0.0571
60,Greedy_CSI,0.5613,0.248,0.9865,59.192,0.2466,0.7686,0.547,0.1377,0.4627,0.5613,0.0573
60,Round_Robin,0.1531,0.2373,0.4512,27.07,0.1128,0.6817,-3.978,0.1655,0.0427,0.5102,0.0558
60,MAPPO,0.4219,0.3167,0.765,45.897,0.1912,0.7577,-1.066,0.1537,0.2843,0.4219,0.0558
60,PGAT,0.5003,0.2547,0.8754,52.523,0.2188,0.71,-0.057,0.1483,0.4047,0.5016,0.0562
80,Random,0.3001,0.2507,0.6052,48.416,0.1513,0.577,-1.966,0.1561,0.2249,0.5965,0.0564
80,Greedy_CSI,0.5669,0.2494,0.9546,76.369,0.2387,0.7904,0.244,0.1463,0.4552,0.5669,0.056
80,Round_Robin,0.1624,0.2405,0.4881,39.05,0.122,0.7347,-3.641,0.1523,0.0386,0.5413,0.0565
80,MAPPO,0.3686,0.3376,0.7154,57.235,0.1789,0.7776,-1.519,0.1495,0.221,0.3686,0.0559
80,PGAT,0.5108,0.2547,0.8644,69.156,0.2161,0.7391,-0.253,0.1469,0.403,0.512,0.0558
100,Random,0.3006,0.2502,0.6007,60.071,0.1502,0.5974,-2.09,0.1556,0.2191,0.601,0.0561
100,Greedy_CSI,0.5389,0.2493,0.9013,90.131,0.2253,0.8001,-0.159,0.1507,0.4033,0.5389,0.0562
100,Round_Robin,0.1469,0.2424,0.4891,48.91,0.1223,0.7598,-3.67,0.1541,0.025,0.4898,0.0563
100,MAPPO,0.2971,0.35,0.6576,65.756,0.1644,0.7777,-2.012,0.1443,0.1538,0.2971,0.0564
100,PGAT,0.4951,0.2537,0.8374,83.74,0.2093,0.7634,-0.531,0.1408,0.3652,0.4961,0.0556
120,Random,0.2871,0.2494,0.585,70.195,0.1462,0.6094,-2.297,0.1498,0.2006,0.5771,0.0565
120,Greedy_CSI,0.5012,0.2502,0.8502,102.022,0.2125,0.8127,-0.564,0.1484,0.3465,0.5012,0.0565
120,Round_Robin,0.1293,0.2437,0.4878,58.538,0.122,0.7872,-3.724,0.1572,0.0176,0.431,0.0563
120,MAPPO,0.2424,0.3653,0.6157,73.879,0.1539,0.7786,-2.384,0.1568,0.108,0.2424,0.056
120,PGAT,0.4536,0.2539,0.7855,94.261,0.1964,0.7742,-0.96,0.1523,0.3055,0.4547,0.0559
